,Neighborhood,Count
0,Wakefield,0
1,Co-op City,0
2,Eastchester,0
3,Fieldston,0
4,Riverdale,0
5,Kingsbridge,0
6,Marble Hill,0
7,Woodlawn,1
8,Norwood,0
9,Williamsbridge,0
10,Baychester,0
11,Pelham Parkway,0
12,City Island,0
13,Bedford Park,0
14,University Heights,0
15,Morris Heights,0
16,Fordham,0
17,East Tremont,0
18,West Farms,0
19,High  Bridge,0
20,Melrose,0
21,Mott Haven,0
22,Port Morris,0
23,Longwood,0
24,Hunts Point,0
25,Morrisania,0
26,Soundview,0
27,Clason Point,0
28,Throgs Neck,0
29,Country Club,0
30,Parkchester,1
31,Westchester Square,0
32,Van Nest,0
33,Morris Park,0
34,Belmont,0
35,Spuyten Duyvil,1
36,North Riverdale,0
37,Pelham Bay,0
38,Schuylerville,0
39,Edgewater Park,0
40,Castle Hill,0
41,Olinville,0
42,Pelham Gardens,0
43,Concourse,1
44,Unionport,1
45,Edenwald,0
46,Bay Ridge,2
47,Bensonhurst,0
48,Sunset Park,0
49,Greenpoint,0
50,Gravesend,0
51,Brighton Beach,1
52,Sheepshead Bay,0
53,Manhattan Terrace,0
54,Flatbush,2
55,Crown Heights,0
56,East Flatbush,1
57,Kensington,2
58,Windsor Terrace,0
59,Prospect Heights,1
60,Brownsville,0
61,Williamsburg,0
62,Bushwick,0
63,Bedford Stuyvesant,0
64,Brooklyn Heights,0
65,Cobble Hill,0
66,Carroll Gardens,0
67,Red Hook,0
68,Gowanus,0
69,Fort Greene,1
70,Park Slope,0
71,Cypress Hills,0
72,East New York,0
73,Starrett City,0
74,Canarsie,0
75,Flatlands,0
76,Mill Island,0
77,Manhattan Beach,0
78,Coney Island,0
79,Bath Beach,0
80,Borough Park,0
81,Dyker Heights,0
82,Gerritsen Beach,0
83,Marine Park,0
84,Clinton Hill,2
85,Sea Gate,0
86,Downtown,0
87,Boerum Hill,1
88,Prospect Lefferts Gardens,3
89,Ocean Hill,2
90,City Line,0
91,Bergen Beach,0
92,Midwood,0
93,Prospect Park South,2
94,Georgetown,0
95,East Williamsburg,0
96,North Side,0
97,South Side,0
98,Ocean Parkway,0
99,Fort Hamilton,1
100,Chinatown,0
101,Washington Heights,1
102,Inwood,0
