,Neighborhood,Id,Name_of_resturant
0,Woodlawn,4c0448d9310fc9b6bf1dc761,Curry Spot
1,Parkchester,4c194631838020a13e78e561,Melanies Roti Bar And Grill
2,Spuyten Duyvil,4c04544df423a593ac83d116,Cumin Indian Cuisine
3,Concourse,551b7f75498e86c00a0ed2e1,Hungry Bird
4,Unionport,4c194631838020a13e78e561,Melanies Roti Bar And Grill
5,Bay Ridge,4b5a4dc8f964a520a2bb28e3,Taj Mahal
6,Bay Ridge,545835a1498e820edc6f636f,Bombay Grill
7,Brighton Beach,4af0d31bf964a5207ddf21e3,Pak Nasheman
8,Flatbush,52213c4211d295d4c57a607c,Ashoka Grill
9,Flatbush,564d283d498e6e851df79d87,Great Indian Curry
10,East Flatbush,512a9ea9e4b004fb8eeb84e5,Silver Krust
11,Kensington,4db0f4371e729fcc56497f20,Mashallah
12,Kensington,4b718914f964a520c04b2de3,Madina Restaurant and Sweets
13,Prospect Heights,592e1dae345cbe0fc77cf6c9,Diwan Grill
14,Fort Greene,57596dad498e732300496b23,Dosa Royale
15,Clinton Hill,568d3902498e619efcbc3f58,Spice & Grill
16,Clinton Hill,57596dad498e732300496b23,Dosa Royale
17,Boerum Hill,543870ec498ec64de510608d,Masala Grill
18,Prospect Lefferts Gardens,4bb93b70cf2fc9b6fe64a002,Gandhi Fine Indian Cuisine
19,Prospect Lefferts Gardens,4afdf78bf964a520862c22e3,King of Tandoor
20,Prospect Lefferts Gardens,4ec80587d3e3e131f2e72835,Bayleaf
21,Ocean Hill,5539753f498edbace4746b67,Tandoori Masala
22,Ocean Hill,4f6cae2ee4b0d4a5afcef5c0,Delhi Heights
23,Prospect Park South,519ff6c8498e1300ddcbd45c,Anarkali Indian Cuisine
24,Prospect Park South,4db0f4371e729fcc56497f20,Mashallah
25,Fort Hamilton,545835a1498e820edc6f636f,Bombay Grill
26,Washington Heights,4ae7876ef964a5201eac21e3,Kismat Indian Restaurant
